Implementation;Method;listSize;Score;Score Error;Allocation Rate
PCOLLECTIONS;getDistinct;50;23,765;0,043;0
PCOLLECTIONS;getDistinct;100;28,368;1,497;0
PCOLLECTIONS;getDistinct;1000;57,447;1,493;13,952
PCOLLECTIONS;getDistinct;10000;83,569;1,063;15,795
PCOLLECTIONS;getDistinct;100000;94,159;5,743;15,98
PCOLLECTIONS;getDistinct;1000000;118,202;6,059;15,998
CLOJURE_HASH_MAP;getNonExisting;1;37,172;0,044;0
CLOJURE_HASH_MAP;getNonExisting;4;33,265;0,044;0
CLOJURE_HASH_MAP;getNonExisting;10;53,676;0,057;0
CLOJURE_HASH_MAP;getNonExisting;15;46,781;0,476;0
CLOJURE_HASH_MAP;getNonExisting;20;59,723;0,101;0
CLOJURE_HASH_MAP;getNonExisting;25;47,878;0,15;0
CLOJURE_HASH_MAP;getNonExisting;50;38,22;0,061;0
CLOJURE_HASH_MAP;getNonExisting;100;44,186;0,238;0
CLOJURE_HASH_MAP;getNonExisting;1000;42,775;0,126;0
CLOJURE_HASH_MAP;getNonExisting;10000;68,98;0,143;0
CLOJURE_HASH_MAP;getNonExisting;100000;85,366;0,574;0
CLOJURE_HASH_MAP;getNonExisting;1000000;181,865;12,173;0
JAVASLANG_HASH_MAP;getNonExisting;1;12,142;0,279;0
JAVASLANG_HASH_MAP;getNonExisting;4;9,805;0,036;0
JAVASLANG_HASH_MAP;getNonExisting;10;11,727;0,061;0
JAVASLANG_HASH_MAP;getNonExisting;15;9,924;0,188;0
JAVASLANG_HASH_MAP;getNonExisting;20;18,579;0,036;0
JAVASLANG_HASH_MAP;getNonExisting;25;22,522;0,06;0
JAVASLANG_HASH_MAP;getNonExisting;50;22,193;0,074;0
JAVASLANG_HASH_MAP;getNonExisting;100;18,709;0,234;0
JAVASLANG_HASH_MAP;getNonExisting;1000;32,127;0,1;0
JAVASLANG_HASH_MAP;getNonExisting;10000;27,911;0,14;0
JAVASLANG_HASH_MAP;getNonExisting;100000;58,591;2,324;0
JAVASLANG_HASH_MAP;getNonExisting;1000000;137,644;1,15;0
JAVASLANG_TREE_MAP;getNonExisting;1;19,276;0,032;0
JAVASLANG_TREE_MAP;getNonExisting;4;22,369;0,148;24
JAVASLANG_TREE_MAP;getNonExisting;10;31,057;0,108;24
JAVASLANG_TREE_MAP;getNonExisting;15;31,289;0,086;24
JAVASLANG_TREE_MAP;getNonExisting;20;36,293;0,102;24
JAVASLANG_TREE_MAP;getNonExisting;25;36,909;1,467;24
JAVASLANG_TREE_MAP;getNonExisting;50;48,705;1,244;24
JAVASLANG_TREE_MAP;getNonExisting;100;55,236;1,173;24
JAVASLANG_TREE_MAP;getNonExisting;1000;87,881;3,305;24
JAVASLANG_TREE_MAP;getNonExisting;10000;106,585;1,537;24
JAVASLANG_TREE_MAP;getNonExisting;100000;131,254;6,938;24,001
JAVASLANG_TREE_MAP;getNonExisting;1000000;154,802;4,635;24,008
PCOLLECTIONS;getNonExisting;1;16,761;0,207;16
PCOLLECTIONS;getNonExisting;4;16,062;0,599;16
PCOLLECTIONS;getNonExisting;10;18,393;0,981;16
PCOLLECTIONS;getNonExisting;15;18,668;0,731;16
PCOLLECTIONS;getNonExisting;20;19,629;0,668;16
PCOLLECTIONS;getNonExisting;25;20,126;0,233;16
PCOLLECTIONS;getNonExisting;50;23,101;1,401;16
PCOLLECTIONS;getNonExisting;100;25,762;0,186;16
PCOLLECTIONS;getNonExisting;1000;68,582;0,336;16
PCOLLECTIONS;getNonExisting;10000;169,249;1,597;16
PCOLLECTIONS;getNonExisting;100000;259,883;12,619;16
PCOLLECTIONS;getNonExisting;1000000;463,747;85,427;16,001
CLOJURE_HASH_MAP;getRandom;1;38,163;0,078;0
CLOJURE_HASH_MAP;getRandom;4;36,396;0,051;0
CLOJURE_HASH_MAP;getRandom;10;36,116;0,189;0
CLOJURE_HASH_MAP;getRandom;15;37,039;0,155;0
CLOJURE_HASH_MAP;getRandom;20;37,225;0,477;0
CLOJURE_HASH_MAP;getRandom;25;37,083;0,337;0
CLOJURE_HASH_MAP;getRandom;50;37,911;0,06;0
CLOJURE_HASH_MAP;getRandom;100;37,875;0,064;0
